,candidates,jobs,data_seed,dqn_seed,batch_size,gamma,epsilon,epsilon_min,epsilon_decay,learning_rate,total_reward,allocation
242,100,20,1,1,64,0.9,1,0.1,0.995,0.0005,-364226,"   Woman  Man
0      3   12"
243,100,20,1,1,64,0.9,1,0.1,0.995,0.001,-376002,"   Woman  Man
0      3   12"
244,100,20,1,1,64,0.9,1,0.001,0.985,0.0005,-364226,"   Woman  Man
0      3   12"
245,100,20,1,1,64,0.9,1,0.001,0.985,0.001,-362280,"   Woman  Man
0      4   11"
246,100,20,1,1,64,0.9,1,0.001,0.995,0.0005,-362280,"   Woman  Man
0      4   11"
247,100,20,1,1,64,0.9,1,0.001,0.995,0.001,-376002,"   Woman  Man
0      3   12"
248,100,20,1,1,64,0.9,0.5,0.1,0.985,0.0005,-362280,"   Woman  Man
0      4   11"
249,100,20,1,1,64,0.9,0.5,0.1,0.985,0.001,-362280,"   Woman  Man
0      4   11"
250,100,20,1,1,64,0.9,0.5,0.1,0.995,0.0005,-364226,"   Woman  Man
0      3   12"
251,100,20,1,1,64,0.9,0.5,0.1,0.995,0.001,-362280,"   Woman  Man
0      4   11"
252,100,20,1,1,64,0.9,0.5,0.001,0.985,0.0005,-364226,"   Woman  Man
0      3   12"
253,100,20,1,1,64,0.9,0.5,0.001,0.985,0.001,-376002,"   Woman  Man
0      3   12"
254,100,20,1,1,64,0.9,0.5,0.001,0.995,0.0005,-385890,"   Woman  Man
0      3   12"
255,100,20,1,1,64,0.9,0.5,0.001,0.995,0.001,-362280,"   Woman  Man
0      4   11"
256,100,20,1,1,64,0.95,1,0.1,0.985,0.0005,-364226,"   Woman  Man
0      3   12"
257,100,20,1,1,64,0.95,1,0.1,0.985,0.001,-376002,"   Woman  Man
0      3   12"
258,100,20,1,1,64,0.95,1,0.1,0.995,0.0005,-362280,"   Woman  Man
0      4   11"
259,100,20,1,1,64,0.95,1,0.1,0.995,0.001,-364226,"   Woman  Man
0      3   12"
260,100,20,1,1,64,0.95,1,0.001,0.985,0.0005,-367713,"   Woman  Man
0      4   11"
